TASK 6 - Archivo de prueba para MODEM M-QAM

Este archivo sirve para probar transmisión de datos por GNU Radio.
Contiene texto ASCII, caracteres en español, números y patrones repetitivos.

Modulación: M-QAM seleccionable
Medios: TCP o SDR
Ruido: AWGN ajustable

Patrones de verificación:
0123456789
ABCDEFGHIJKLMNOPQRSTUVWXYZ
abcdefghijklmnopqrstuvwxyz
áéíóú ñ Ñ

Bloque repetitivo:
Línea 001: QAM-8 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 002: QAM-16 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 003: QAM-32 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 004: QAM-64 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 005: QAM-128 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 006: QAM-256 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 007: QAM-8 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 008: QAM-16 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 009: QAM-32 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 010: QAM-64 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 011: QAM-128 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 012: QAM-256 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 013: QAM-8 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 014: QAM-16 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 015: QAM-32 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 016: QAM-64 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 017: QAM-128 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 018: QAM-256 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 019: QAM-8 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 020: QAM-16 | patrón hexadecimal: 47 00 FF AA 55 | prueba de integridad.
Línea 021: QAM-32 | patrón h
